Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.eu.r5.mpd.json	24280	-	0	0	0	0	0	0	4	111	0	0	0	0	0	0	0	1	0	0	106	119	0	0	0	4	0	1
fsh-generated/resources/Bundle-100A-multiitem-prescription-with-orchestration.json	9858	23	0	0	0	0	0	0	1	2593	0	0	0	0	0	0	0	0	0	0	47	55	0	0	1	0	0	0
fsh-generated/resources/Bundle-200A-multiitem-prescription-without-orchestration.json	3918	8	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	26	32	0	0	0	0	0	0
fsh-generated/resources/Bundle-300A-multiitem-prescription-with-orchestration.json	11298	12	0	0	0	0	0	0	1	8695	0	0	0	0	0	0	0	1	0	0	46	54	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-eD2FHIR-eu-mpd.json	6284	13	0	0	0	0	0	0	1	2553	0	0	0	0	0	0	0	0	0	0	34	576	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-medProd2FHIR-eu-mpd.json	6173	8	0	0	0	0	0	0	0	2538	0	0	0	0	0	0	0	0	0	0	33	136	0	0	0	1	0	0
fsh-generated/resources/Medication-01A-Cefuroxime1500GenericExplicit.json	1403	6	0	0	1	0	0	0	0	1387	0	0	0	0	0	0	0	0	0	0	11	13	0	0	0	0	0	0
fsh-generated/resources/Medication-01B-Cefuroxime1500GenericConcept.json	420	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	9	0	0	0	0	0	0
fsh-generated/resources/Medication-01C-Cefuroxime1500Branded.json	2674	5	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	14	12	0	0	0	0	0	0
fsh-generated/resources/Medication-01D-Cefuroxime750Branded.json	2646	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	8	0	0	0	0	0	0
fsh-generated/resources/Medication-02A-ClotrimazoleCanifugCremolum.json	1879	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11	16	0	0	0	0	0	0
fsh-generated/resources/Medication-02A1-CanifugCremolumCreamItem.json	1748	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	14	12	0	0	0	0	0	0
fsh-generated/resources/Medication-02A2-CanifugCremolumPessaryItem.json	1506	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	11	0	0	0	0	0	0
fsh-generated/resources/Medication-03B-VitaminBComplexBranded.json	4316	5	0	0	0	0	0	0	1	2794	0	0	0	0	0	0	0	0	0	0	16	15	0	0	0	0	0	0
fsh-generated/resources/Medication-04A-FirmagonBranded.json	4112	5	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	17	14	0	0	0	0	0	1
fsh-generated/resources/Medication-05A-Tilidin-Branded.json	3730	6	0	0	0	0	0	0	0	1400	0	0	0	0	0	0	0	0	0	0	15	12	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-300D-dispense-for-2-requests.json	876	6	0	0	0	0	0	0	0	1385	0	0	0	0	0	0	0	0	0	0	9	19	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-400D-dispense-1.json	968	4	0	0	0	0	0	0	1	1393	0	0	0	0	0	0	0	0	0	0	12	19	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-400D-dispense-2.json	956	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	19	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-400E-refused-dispense.json	832	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	16	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-100C-3-medication-prescription-request1.json	1883	6	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	18	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-100C-3-medication-prescription-request2.json	1821	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	14	16	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-100C-3-medication-prescription-request3.json	1823	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	12	16	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-200C-2-medication-prescription-request1.json	1872	5	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	14	16	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-200C-2-medication-prescription-request2.json	1826	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	17	15	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-300C-2-medication-prescription-request1.json	1775	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	13	18	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-300C-2-medication-prescription-request2.json	1741	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	14	18	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-400C-prescription-cefuroxime-singleline.json	3207	7	0	0	1	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	17	16	0	0	0	0	0	0
fsh-generated/resources/Organization-organization1.json	162	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0
fsh-generated/resources/Organization-organization2.json	153	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0
fsh-generated/resources/Patient-patient1.json	364	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	7	0	0	0	0	0	0
fsh-generated/resources/Patient-patient2.json	365	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	5	0	0	0	0	0	0
fsh-generated/resources/Practitioner-practitioner1.json	219	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	4	0	0	0	0	0	0
fsh-generated/resources/Practitioner-practitioner2.json	227	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	5	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-doctor1.json	478	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	13	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-pharmacist1.json	461	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0
fsh-generated/resources/RequestOrchestration-100B-RequestOrchestration.json	612	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	12	9	0	0	0	0	0	0
fsh-generated/resources/RequestOrchestration-300B-RequestOrchestration.json	490	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	7	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-Dispensation.json	5850	6	0	11	0	0	1	1	0	36	0	0	1	0	0	0	0	0	0	0	62	419	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-Medication-eu-mpd.json	9333	7	0	53	0	0	0	0	0	3805	0	0	0	0	0	0	0	0	0	0	175	378	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-MedicationDispense-eu-mpd.json	2395	5	0	108	0	0	0	0	0	16	0	0	1	0	0	0	0	1	0	0	150	277	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-MedicationRequest-eu-mpd.json	8089	6	0	53	1	0	0	0	0	1280	0	0	0	0	0	0	0	2	0	0	344	826	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-MedicinalProduct.json	7921	5	0	19	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	87	156	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-Prescription.json	14024	6	0	20	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	148	185	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-Subject.json	3615	5	0	17	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	64	99	0	0	0	1	0	1
input/resources/ConceptMap-eP2FHIR-eu-mpd.json	16599	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	42	88	0	0	0	1	0	0
